country,total_area_sq_km,land_area_sq_km,water_area_sq_km,land_boundaries_km,coastline_km,elevation_mean_m,agricultural_land_percent,forest_land_percent,total_dependency_ratio,youth_dependency_ratio,elderly_dependency_ratio,median_age,population_growth_rate,birth_rate,death_rate,net_migration_rate,urban_population,rate_urbanization,sex_ratio,maternal_mortality_ratio,infant_mortality_rate,life_expectancy,fertility_rate,contraceptive_prevalence,health_expenditure,physician_density,education_expenditure,particulate_emisions,methane_emissions,urban_population_percent,urbanization_rate,real_gdp,real_gdp_growth_rate,real_gdp_per_capita,gdp,unemployment_rate,population_below_poverty_line
Poland,312685.0,304255.0,8430.0,2865.0,440.0,173.0,48.2,30.6,51.4,23.0,28.4,41.9,-0.26,8.5,10.71,-0.33,60.1,-0.16,0.94,2.0,4.16,78.76,1.4,62.3,6.5,2.38,4.6,20.54,46.62,60.1,-0.16,1223460000000.0,4.55,32200.0,595720000000.0,5.43,15.4
AJ,86600.0,82629.0,3971.0,2468.0,0.0,384.0,57.6,11.3,43.4,33.7,9.7,32.6,0.67,13.59,6.92,0.0,57.2,1.38,0.98,26.0,23.51,74.15,1.86,54.9,4.0,3.45,2.7,18.2,44.87,57.2,1.38,138510000000.0,-1.0,13700.0,48104000000.0,-1.0,4.9
Armenia,29743.0,28203.0,1540.0,1570.0,0.0,1792.0,59.7,9.1,48.4,30.9,17.5,36.6,-0.38,11.1,9.51,-5.36,63.6,0.23,0.95,26.0,12.18,76.13,1.65,57.1,11.3,4.4,2.7,30.48,2.91,63.6,0.23,37310000000.0,-1.0,12600.0,13694000000.0,-1.0,26.4
"Iran, Islamic Republic Of",1648195.0,1531595.0,116600.0,5894.0,2440.0,1305.0,30.1,6.8,45.6,36.0,9.6,31.7,0.98,15.27,5.17,-0.3,76.8,1.32,1.03,16.0,14.84,75.25,1.93,77.4,6.7,1.58,3.7,35.09,158.71,76.8,1.32,1044310000000.0,-1.0,12400.0,581252000000.0,-1.0,18.7
KU,17818.0,17818.0,0.0,475.0,499.0,108.0,8.5,0.4,32.4,28.4,4.0,29.7,1.17,17.78,2.25,-3.87,100.0,1.35,1.37,12.0,7.43,79.13,2.24,-1.0,5.5,2.65,6.6,57.17,6.21,100.0,1.35,-1.0,-1.0,-1.0,134638000000.0,-1.0,-1.0
GZ,360.0,360.0,0.0,72.0,40.0,-1.0,-1.0,-1.0,71.2,65.7,5.5,18.0,2.02,27.67,2.91,-4.55,77.3,2.85,1.02,27.0,15.23,75.4,3.44,57.3,-1.0,2.77,5.3,-1.0,-1.0,77.3,2.85,-1.0,-1.0,-1.0,2938000000.0,-1.0,30.0
Iceland,21937.0,21497.0,440.0,1068.0,273.0,508.0,23.8,7.1,67.3,46.6,20.8,30.4,1.44,17.41,5.05,2.02,92.8,1.51,1.01,3.0,3.56,83.35,2.56,-1.0,7.5,4.63,6.2,19.46,13.02,92.8,1.51,353390000000.0,3.28,38300.0,394930000000.0,3.81,22.0
Syrian Arab Republic,187437.0,185887.0,1550.0,2363.0,193.0,514.0,75.8,2.7,55.4,47.8,7.6,23.5,5.91,22.72,4.22,40.58,56.8,5.38,1.0,31.0,15.87,74.28,2.8,-1.0,-1.0,1.29,-1.0,39.43,12.93,56.8,5.38,-1.0,-1.0,-1.0,24600000000.0,-1.0,82.5
YM,527968.0,527968.0,0.0,1601.0,1906.0,999.0,44.5,1.0,71.7,66.7,5.0,19.8,1.88,24.64,5.62,-0.19,39.2,3.71,1.02,164.0,46.54,67.51,3.01,33.5,4.3,0.53,-1.0,44.96,8.03,39.2,3.71,-1.0,-1.0,-1.0,54356000000.0,-1.0,48.6
Saudi Arabia,2149690.0,2149690.0,0.0,4272.0,2640.0,665.0,80.7,0.5,39.3,34.4,4.9,30.8,1.63,14.22,3.42,5.52,84.7,1.69,1.3,17.0,12.27,76.65,1.92,24.6,5.7,2.61,-1.0,78.38,45.47,84.7,1.69,1543240000000.0,-1.0,44300.0,792849000000.0,-1.0,-1.0
LE,10400.0,10230.0,170.0,484.0,225.0,1250.0,63.3,13.4,48.4,37.2,11.2,33.7,0.66,13.1,5.57,-0.94,89.3,-1.23,1.0,29.0,7.04,78.76,1.71,-1.0,8.7,2.1,2.6,30.67,3.37,89.3,-1.23,79510000000.0,-1.0,11600.0,53253000000.0,-1.0,27.4
Mauritius,309500.0,309500.0,0.0,1561.0,2092.0,310.0,4.7,0.0,33.3,30.0,3.3,26.2,1.84,22.11,3.23,-0.45,87.8,2.32,1.17,19.0,14.45,76.9,2.7,29.7,4.1,2.0,5.4,38.25,5.6,87.8,2.32,-1.0,-1.0,-1.0,76883000000.0,-1.0,-1.0
Bosnia And Herzegovina,760.0,760.0,0.0,0.0,161.0,-1.0,11.3,0.7,26.5,23.1,3.4,32.9,0.88,12.4,2.82,-0.82,89.7,1.99,1.52,14.0,10.19,79.9,1.67,-1.0,4.0,0.93,2.3,69.04,15.47,89.7,1.99,69650000000.0,2.49,40900.0,38472000000.0,-1.0,-1.0
WE,5860.0,5640.0,220.0,478.0,0.0,-1.0,43.3,1.5,71.2,65.7,5.5,21.9,1.69,24.42,3.4,-4.09,77.3,2.85,1.03,27.0,15.29,76.38,2.96,57.3,-1.0,1.45,5.3,-1.0,-1.0,77.3,2.85,25910000000.0,-1.0,5400.0,9828000000.0,-1.0,18.0
Guernsey,69700.0,69700.0,0.0,1814.0,310.0,1432.0,35.5,39.4,55.0,31.3,23.6,38.6,0.03,11.0,10.8,0.06,60.3,0.35,0.92,25.0,14.77,77.5,1.75,40.6,6.7,7.12,3.8,21.2,6.05,60.3,0.35,52330000000.0,-1.0,14100.0,17694000000.0,-1.0,19.5
United Arab Emirates,83600.0,83600.0,0.0,1066.0,1318.0,149.0,4.6,3.8,19.2,17.7,1.5,38.4,0.58,10.81,1.56,-3.45,87.5,1.5,2.21,3.0,5.14,79.56,1.64,-1.0,4.3,2.53,3.1,39.44,56.55,87.5,1.5,-1.0,-1.0,-1.0,421077000000.0,-1.0,19.5
Jordan,89342.0,88802.0,540.0,1744.0,26.0,812.0,11.4,1.1,58.2,52.0,6.3,23.5,0.81,22.58,3.45,-11.08,91.8,0.98,1.1,46.0,13.9,76.01,2.96,51.8,7.6,2.32,3.0,32.09,6.04,91.8,0.98,100160000000.0,2.0,9800.0,44568000000.0,19.1,15.7
TU,783562.0,769632.0,13930.0,2816.0,7200.0,1132.0,49.7,14.9,49.1,35.7,13.4,32.2,0.67,14.28,6.05,-1.54,77.0,1.11,1.01,17.0,19.35,76.21,1.93,69.8,4.3,1.85,4.3,41.97,57.53,77.0,1.11,2393960000000.0,0.98,28400.0,760028000000.0,13.68,14.4
Qatar,11586.0,11586.0,0.0,87.0,563.0,28.0,5.6,0.0,18.1,16.1,2.0,33.7,1.04,9.33,1.42,2.45,99.3,1.66,3.36,9.0,6.62,79.81,1.9,37.5,2.9,2.49,3.2,90.35,8.34,99.3,1.66,245660000000.0,-1.0,85300.0,191290000000.0,-1.0,-1.0
IZ,438317.0,437367.0,950.0,3809.0,58.0,312.0,18.1,1.9,69.9,64.1,5.9,21.2,2.0,24.7,3.9,-0.83,71.4,2.91,1.01,79.0,19.62,73.18,3.25,52.8,4.5,0.71,-1.0,57.73,17.44,71.4,2.91,372270000000.0,-1.0,9300.0,231994000000.0,-1.0,23.0
Dominican Republic,751.0,751.0,-1.0,0.0,148.0,-1.0,34.7,59.2,-1.0,-1.0,-1.0,34.9,0.05,13.91,8.11,-5.31,71.7,0.84,1.02,-1.0,11.27,78.21,2.02,-1.0,5.5,1.12,5.0,18.17,0.04,71.7,0.84,710000000.0,-1.0,9900.0,557000000.0,-1.0,29.0
Cuba,110860.0,109820.0,1040.0,28.5,3735.0,108.0,60.3,27.3,46.7,23.3,23.3,42.1,-0.21,10.11,9.29,-2.92,77.4,0.19,0.93,36.0,4.13,79.64,1.71,69.0,11.3,8.42,-1.0,18.37,9.3,77.4,0.19,-1.0,-1.0,-1.0,93790000000.0,-1.0,-1.0
AC,443.0,442.6,0.0,0.0,153.0,-1.0,20.5,18.8,45.3,31.8,13.6,32.7,1.15,15.16,5.65,2.03,24.3,0.87,0.89,-1.0,14.3,77.8,1.95,-1.0,4.4,2.96,3.3,17.92,0.22,24.3,0.87,1760000000.0,-1.0,18000.0,1524000000.0,-1.0,-1.0
AA,180.0,180.0,0.0,0.0,68.5,-1.0,11.1,2.3,47.0,25.6,21.5,39.9,1.14,11.82,8.62,8.18,44.1,0.77,0.9,-1.0,12.09,78.01,1.83,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,44.1,0.77,-1.0,-1.0,-1.0,2700000000.0,-1.0,-1.0
Sao Tome And Principe,616.0,606.0,10.0,0.0,158.0,-1.0,17.4,77.0,39.4,25.0,14.4,36.9,0.29,12.02,8.07,-1.09,19.0,0.98,0.94,117.0,11.99,78.95,1.72,55.5,4.3,0.64,3.6,21.22,0.27,19.0,0.98,2250000000.0,-1.0,12300.0,1686000000.0,-1.0,25.0
"Virgin Islands, U.S.",151.0,151.0,0.0,0.0,80.0,-1.0,46.7,24.3,-1.0,-1.0,-1.0,37.2,1.91,10.95,5.38,13.56,49.3,1.73,0.91,-1.0,14.16,79.67,1.35,-1.0,-1.0,-1.0,2.9,-1.0,-1.0,49.3,1.73,-1.0,-1.0,-1.0,1028000000.0,-1.0,-1.0
VQ,1910.0,346.0,1564.0,0.0,188.0,-1.0,11.5,57.4,66.0,32.0,34.0,41.8,-0.45,11.63,8.78,-7.35,96.1,-0.11,0.91,-1.0,7.65,80.27,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96.1,-0.11,-1.0,-1.0,-1.0,5182000000.0,-1.0,28.9
HO,112090.0,111890.0,200.0,1575.0,823.0,684.0,28.8,45.3,55.2,47.5,7.7,24.4,1.19,17.92,4.68,-1.34,59.6,2.48,0.95,65.0,15.08,75.17,2.01,73.2,7.3,0.31,4.9,20.12,7.72,59.6,2.48,50890000000.0,-1.0,5100.0,25145000000.0,-1.0,48.3
Barbados,430.0,430.0,0.0,0.0,97.0,-1.0,32.6,19.4,50.3,25.2,25.1,39.5,0.26,10.83,7.96,-0.29,31.3,0.46,0.93,27.0,10.0,78.55,1.7,59.2,6.3,2.48,4.3,22.24,2.35,31.3,0.46,3700000000.0,-1.0,12900.0,4990000000.0,-1.0,-1.0
Jamaica,10991.0,10831.0,160.0,0.0,1022.0,18.0,41.4,31.1,48.0,34.6,13.4,29.4,0.08,15.91,7.43,-7.7,57.0,0.79,0.98,80.0,11.17,75.75,2.06,-1.0,6.1,1.31,5.4,13.25,1.08,57.0,0.79,25890000000.0,-1.0,8700.0,15847000000.0,7.72,17.1
HA,27750.0,27560.0,190.0,376.0,1771.0,470.0,66.4,3.6,60.4,52.1,8.3,24.1,1.2,21.12,7.23,-1.88,58.8,2.47,0.97,480.0,40.02,65.95,2.43,34.3,4.7,0.23,1.7,14.63,6.12,58.8,2.47,31620000000.0,-1.0,2800.0,8608000000.0,-1.0,58.5
CJ,264.0,264.0,0.0,0.0,160.0,-1.0,11.2,52.9,-1.0,-1.0,-1.0,40.5,1.83,11.69,5.97,12.56,100.0,1.13,0.95,-1.0,7.65,82.04,1.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,1.13,-1.0,-1.0,-1.0,2250000000.0,-1.0,-1.0
Marshall Islands,102.0,102.0,0.0,0.0,40.0,-1.0,30.0,25.0,-1.0,-1.0,-1.0,34.8,0.5,10.9,5.91,0.0,9.2,0.94,1.0,-1.0,10.36,75.7,1.32,-1.0,-1.0,-1.0,9.1,-1.0,-1.0,9.2,0.94,-1.0,-1.0,-1.0,167400000.0,-1.0,-1.0
Tokelau,948.0,948.0,0.0,0.0,389.0,-1.0,1.1,36.2,-1.0,-1.0,-1.0,34.6,1.86,13.54,3.5,8.58,94.0,1.46,1.01,-1.0,11.59,80.82,1.7,-1.0,-1.0,-1.0,3.5,-1.0,-1.0,94.0,1.46,820000000.0,-1.0,21100.0,1020000000.0,-1.0,-1.0
BQ,5.0,5.4,0.0,0.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
TB,25.0,25.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.6,-0.16,9.29,9.01,-1.83,-1.0,-1.0,1.12,-1.0,6.71,80.58,1.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RN,54.0,54.4,-1.0,16.0,58.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.3,0.33,14.09,4.64,-6.13,-1.0,-1.0,0.92,-1.0,6.71,80.58,1.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,561500000.0,-1.0,-1.0
Bahrain,22966.0,22806.0,160.0,542.0,386.0,173.0,6.9,60.6,52.0,44.4,7.6,23.9,1.64,21.28,3.94,-0.96,46.4,2.3,1.0,36.0,11.15,75.82,2.62,51.4,6.0,1.12,7.9,21.23,0.55,46.4,2.3,2430000000.0,-1.0,6100.0,1854000000.0,-1.0,41.0
Saint Pierre And Miquelon,75420.0,74340.0,1080.0,687.0,2490.0,360.0,30.5,43.6,53.9,40.8,13.1,30.1,1.53,17.99,6.11,3.42,69.1,1.92,1.02,52.0,16.44,77.62,2.39,50.8,7.6,1.57,3.1,11.18,5.97,69.1,1.92,109520000000.0,-1.0,25400.0,66801000000.0,-1.0,22.1
Chad,5128.0,5128.0,0.0,0.0,362.0,83.0,10.6,44.0,46.1,29.3,16.8,37.8,0.14,10.79,8.38,-1.01,53.3,0.23,1.01,67.0,15.83,75.94,1.63,40.3,7.0,4.17,3.6,22.04,1.35,53.3,0.23,33210000000.0,-1.0,23700.0,24031000000.0,-1.0,20.0
Saint Vincent And Grenadines,389.0,389.0,0.0,0.0,84.0,-1.0,25.6,68.7,46.7,32.1,14.5,35.3,-0.17,12.27,7.49,-6.47,53.9,0.94,1.04,98.0,12.87,76.68,1.75,-1.0,4.8,0.66,5.7,21.2,0.09,53.9,0.94,1340000000.0,-1.0,12100.0,785000000.0,-1.0,-1.0
NN,34.0,34.0,0.0,16.0,58.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.1,1.23,12.56,6.07,5.83,100.0,1.16,0.98,-1.0,7.98,79.26,1.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,1.16,-1.0,-1.0,-1.0,304100000.0,-1.0,-1.0
Seychelles,261.0,261.0,0.0,0.0,135.0,-1.0,23.1,42.3,-1.0,-1.0,-1.0,36.5,0.61,12.24,7.27,1.16,31.0,1.06,1.0,-1.0,8.35,77.08,1.76,-1.0,5.4,2.68,2.6,12.31,0.1,31.0,1.06,1240000000.0,-1.0,23300.0,964000000.0,-1.0,-1.0
CS,51100.0,51060.0,40.0,661.0,1290.0,746.0,37.1,51.5,45.1,30.2,14.9,32.6,1.01,14.28,4.91,0.77,82.0,1.5,1.0,27.0,8.39,79.64,1.86,70.9,7.3,2.89,6.7,15.85,5.61,82.0,1.5,100250000000.0,-1.0,19700.0,61855000000.0,-1.0,21.0
RQ,9104.0,8959.0,145.0,0.0,501.0,261.0,22.0,63.2,57.7,24.8,32.8,43.6,-1.38,7.87,9.76,-11.9,93.6,-0.12,0.89,21.0,6.04,81.68,1.24,-1.0,-1.0,3.06,6.1,-1.0,-1.0,93.6,-0.12,106820000000.0,-1.0,33400.0,104200000000.0,-1.0,-1.0
Niue,130370.0,119990.0,10380.0,1253.0,910.0,298.0,42.2,25.3,54.3,45.5,8.8,27.3,0.92,16.52,5.17,-2.15,59.6,1.45,0.95,198.0,19.09,74.78,1.8,80.4,8.4,0.98,3.4,16.87,6.46,59.6,1.45,34980000000.0,-1.0,5300.0,12570000000.0,-1.0,24.9
DR,48670.0,48320.0,350.0,376.0,1288.0,424.0,51.5,40.8,53.8,42.2,11.6,27.9,0.91,18.03,6.29,-2.68,83.8,1.64,1.02,95.0,21.18,72.56,2.21,69.5,5.9,1.53,4.0,12.95,8.1,83.8,1.64,184450000000.0,-1.0,17000.0,88956000000.0,-1.0,21.0
Guatemala,108889.0,107159.0,1730.0,1667.0,400.0,759.0,41.2,33.6,62.3,54.1,8.2,23.2,1.58,22.34,4.91,-1.66,52.7,2.59,0.98,95.0,26.18,72.91,2.62,60.6,6.2,0.36,3.3,23.59,10.7,52.7,2.59,141500000000.0,-1.0,8400.0,76678000000.0,-1.0,59.3
Spain,21041.0,20721.0,320.0,590.0,307.0,442.0,74.7,13.6,54.4,41.1,13.4,27.7,0.57,17.87,5.91,-6.29,74.8,1.33,0.92,46.0,12.14,75.37,2.05,71.9,7.2,1.57,3.4,23.42,4.71,74.8,1.33,52260000000.0,-1.0,8100.0,27023000000.0,-1.0,22.8
UC,444.0,444.0,0.0,-1.0,364.0,-1.0,10.0,-1.0,55.9,28.3,27.5,36.7,0.32,13.2,8.71,-1.31,89.0,0.57,0.99,-1.0,7.88,79.42,1.98,-1.0,-1.0,-1.0,4.9,-1.0,-1.0,89.0,0.57,-1.0,-1.0,-1.0,5600000000.0,-1.0,-1.0
Burkina Faso,13880.0,10010.0,3870.0,0.0,3542.0,-1.0,1.4,51.4,41.5,30.6,11.0,32.8,0.82,14.64,6.41,0.0,83.5,1.02,0.95,70.0,12.78,76.13,1.98,-1.0,5.8,2.01,2.5,17.56,0.23,83.5,1.02,12100000000.0,-1.0,30800.0,12160000000.0,-1.0,9.3
GJ,344.0,344.0,0.0,0.0,121.0,-1.0,32.3,50.0,50.5,35.8,14.7,33.3,0.32,13.94,8.31,-2.43,36.9,0.86,1.03,25.0,9.4,75.74,1.93,-1.0,5.0,1.41,3.6,21.56,2.04,36.9,0.86,1700000000.0,-1.0,15100.0,1119000000.0,-1.0,38.0
AV,91.0,91.0,0.0,0.0,61.0,-1.0,0.0,61.1,-1.0,-1.0,-1.0,35.7,1.8,12.01,4.64,10.67,100.0,0.47,0.89,-1.0,3.07,82.2,1.72,-1.0,-1.0,-1.0,3.6,-1.0,-1.0,100.0,0.47,-1.0,-1.0,-1.0,175400000.0,-1.0,23.0
Nauru,21.0,21.0,0.0,0.0,30.0,-1.0,20.0,0.0,-1.0,-1.0,-1.0,27.0,0.42,21.1,6.32,-10.6,100.0,0.18,0.96,-1.0,7.84,67.93,2.62,-1.0,9.8,1.35,-1.0,12.53,0.01,100.0,0.18,-1.0,-1.0,-1.0,114000000.0,-1.0,-1.0
CW,236.0,236.0,0.0,0.0,120.0,-1.0,8.4,64.6,-1.0,-1.0,-1.0,38.3,-2.39,12.55,9.1,-27.31,75.9,0.52,1.06,-1.0,15.93,77.14,2.07,-1.0,3.1,1.41,3.5,12.03,-1.0,75.9,0.52,-1.0,-1.0,-1.0,299900000.0,-1.0,-1.0
United States Outlying Islands,-1.0,6959.41,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
New Zealand,268838.0,264537.0,4301.0,0.0,15134.0,388.0,43.2,31.4,55.8,30.3,25.5,37.2,1.17,12.78,6.89,5.83,86.9,0.92,1.0,9.0,3.44,82.54,1.86,79.9,9.7,3.59,6.0,5.73,34.3,86.9,0.92,215600000000.0,2.22,42400.0,205202000000.0,4.13,-1.0
WQ,7.0,6.5,0.0,0.0,19.3,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Antarctica,224.0,224.0,0.0,0.0,116.0,-1.0,24.5,75.5,-1.0,-1.0,-1.0,27.2,-1.92,16.7,6.1,-29.8,87.2,0.26,0.99,-1.0,10.06,75.32,2.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.2,0.26,-1.0,-1.0,-1.0,658000000.0,-1.0,-1.0
New Caledonia,18575.0,18275.0,300.0,0.0,2254.0,-1.0,10.4,45.9,46.6,32.4,14.2,32.9,1.19,14.13,5.88,3.66,72.3,1.72,0.99,-1.0,5.0,78.83,1.86,-1.0,-1.0,2.22,-1.0,-1.0,-1.0,72.3,1.72,-1.0,-1.0,-1.0,9770000000.0,-1.0,17.0
Tunisia,747.0,717.0,30.0,0.0,419.0,-1.0,43.1,12.5,68.6,58.6,10.0,24.1,-0.26,20.31,4.95,-18.01,23.1,0.99,1.01,52.0,12.41,77.53,2.76,29.3,5.0,0.54,8.0,10.08,0.12,23.1,0.99,-1.0,-1.0,-1.0,455000000.0,-1.0,22.5
FP,4167.0,3827.0,340.0,0.0,2525.0,-1.0,12.5,43.7,45.5,32.3,13.2,33.3,0.73,13.47,5.59,-0.63,62.2,0.65,1.05,-1.0,4.4,78.43,1.81,-1.0,-1.0,2.13,-1.0,-1.0,-1.0,62.2,0.65,-1.0,-1.0,-1.0,4795000000.0,-1.0,19.7
Cook Islands,14.0,14.0,0.0,0.0,26.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Timor-Leste,12.0,12.0,0.0,0.0,101.0,-1.0,60.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.01,-1.0,-1.0,-3.84,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.72,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,12658000.0,-1.0,-1.0
Norfolk Island,36.0,36.0,0.0,0.0,32.0,-1.0,25.0,11.5,-1.0,-1.0,-1.0,-1.0,0.01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
