country,total_area_sq_km,land_area_sq_km,water_area_sq_km,land_boundaries_km,coastline_km,elevation_mean_m,agricultural_land_percent,forest_land_percent,total_dependency_ratio,youth_dependency_ratio,elderly_dependency_ratio,median_age,population_growth_rate,birth_rate,death_rate,net_migration_rate,urban_population,rate_urbanization,sex_ratio,maternal_mortality_ratio,infant_mortality_rate,life_expectancy,fertility_rate,contraceptive_prevalence,health_expenditure,physician_density,education_expenditure,particulate_emisions,methane_emissions,urban_population_percent,urbanization_rate,real_gdp,real_gdp_growth_rate,real_gdp_per_capita,gdp,unemployment_rate,population_below_poverty_line
Costa Rica,3.0,3.0,0.0,0.0,3095.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
PC,47.0,47.0,0.0,0.0,51.0,-1.0,0.0,74.5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CQ,464.0,464.0,0.0,0.0,1482.0,-1.0,6.6,65.5,-1.0,-1.0,-1.0,32.8,-0.35,15.5,5.44,-13.6,92.0,0.36,1.13,-1.0,12.48,76.58,2.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,92.0,0.36,-1.0,-1.0,-1.0,1242000000.0,-1.0,-1.0
"Micronesia, Federated States Of",702.0,702.0,0.0,0.0,6112.0,-1.0,25.5,74.5,55.2,48.4,6.8,26.3,-0.67,18.39,4.19,-20.91,23.2,1.52,0.96,88.0,21.9,74.44,2.24,-1.0,11.4,-1.0,9.7,10.23,0.02,23.2,1.52,-1.0,-1.0,-1.0,328000000.0,-1.0,41.2
BP,28896.0,27986.0,910.0,0.0,5313.0,-1.0,3.9,78.9,77.6,71.1,6.5,23.5,1.72,22.71,3.96,-1.55,25.6,3.57,1.04,104.0,20.02,76.7,2.87,29.3,4.8,0.19,10.1,10.67,0.43,25.6,3.57,1710000000.0,-1.0,2500.0,1298000000.0,-1.0,12.7
Austria,5.0,5.0,0.0,0.0,74.1,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RM,181.0,181.0,0.0,0.0,370.4,2.0,50.7,49.3,-1.0,-1.0,-1.0,23.8,1.34,22.0,4.28,-4.37,78.5,0.61,1.03,-1.0,21.66,74.65,2.76,-1.0,16.3,0.42,9.6,9.43,0.03,78.5,0.61,-1.0,-1.0,-1.0,222000000.0,-1.0,-1.0
"Palestinian Territory, Occupied",459.0,459.0,0.0,0.0,1519.0,-1.0,10.8,87.6,-1.0,-1.0,-1.0,33.9,0.39,11.52,8.25,0.6,82.0,1.59,1.07,-1.0,11.28,74.64,1.7,-1.0,15.2,1.42,-1.0,12.18,0.06,82.0,1.59,-1.0,-1.0,-1.0,292000000.0,-1.0,24.9
Niger,260.0,260.0,0.0,0.0,64.0,-1.0,19.1,71.2,-1.0,-1.0,-1.0,-1.0,-0.03,-1.0,-1.0,-1.0,47.6,1.43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.3,-1.0,-1.0,11.47,-1.0,47.6,1.43,-1.0,-1.0,-1.0,10010000.0,-1.0,-1.0
Wallis And Futuna,142.0,142.0,0.0,0.0,129.0,-1.0,42.8,41.9,-1.0,-1.0,-1.0,34.0,0.25,12.27,5.79,-3.96,0.0,0.0,1.06,-1.0,4.0,80.67,1.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,195000000.0,-1.0,-1.0
Fiji,18274.0,18274.0,0.0,0.0,1129.0,-1.0,23.3,55.7,53.4,44.5,8.9,29.9,0.44,16.56,6.37,-5.84,58.2,1.37,1.03,34.0,10.06,74.27,2.26,-1.0,3.8,0.86,5.1,10.19,0.95,58.2,1.37,9860000000.0,-1.0,11000.0,4891000000.0,-1.0,29.9
Tuvalu,26.0,26.0,0.0,0.0,24.0,2.0,60.0,33.3,-1.0,-1.0,-1.0,26.6,0.83,22.7,7.97,-6.41,65.5,2.08,0.98,-1.0,28.92,68.38,2.83,-1.0,24.0,0.91,-1.0,11.42,0.01,65.5,2.08,50000000.0,-1.0,4400.0,40000000.0,-1.0,26.3
American Samoa,7741220.0,7682300.0,58920.0,0.0,25760.0,330.0,46.65,17.42,55.1,29.9,25.1,37.5,1.25,12.3,6.77,6.93,86.5,1.27,0.99,6.0,3.01,83.09,1.73,66.9,9.9,3.68,5.1,7.19,105.01,86.5,1.27,1250900000000.0,1.84,48700.0,1390790000000.0,5.16,-1.0
KT,135.0,135.0,0.0,0.0,138.9,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NH,12189.0,12189.0,0.0,0.0,2528.0,-1.0,15.3,36.1,72.5,66.2,12.3,23.0,1.63,21.57,3.98,-1.3,25.8,2.55,0.99,72.0,14.34,75.14,2.66,49.0,3.4,0.17,2.3,10.31,0.5,25.8,2.55,850000000.0,-1.0,2800.0,870000000.0,-1.0,-1.0
Korea,811.0,811.0,0.0,0.0,1143.0,2.0,42.0,15.0,67.0,60.0,7.0,25.7,1.04,20.12,6.92,-2.8,57.1,2.77,0.94,92.0,32.93,67.9,2.2,33.5,10.3,0.2,12.4,10.45,0.02,57.1,2.77,270000000.0,-1.0,2300.0,197000000.0,-1.0,-1.0
Equatorial Guinea,544.0,544.0,0.0,0.0,125.5,-1.0,33.4,47.9,52.4,36.4,16.1,29.4,0.16,18.56,6.03,-10.96,95.1,0.84,1.06,-1.0,11.46,77.5,2.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95.1,0.84,-1.0,-1.0,-1.0,5793000000.0,-1.0,23.0
Samoa,2831.0,2821.0,10.0,0.0,403.0,-1.0,12.4,60.4,73.3,64.5,8.8,25.6,0.63,19.21,5.37,-7.51,17.6,-0.03,1.03,43.0,18.0,75.19,2.42,16.6,6.4,0.35,4.8,10.56,0.27,17.6,-0.03,1250000000.0,-1.0,6300.0,841000000.0,-1.0,20.3
TS,163610.0,155360.0,8250.0,1495.0,1148.0,246.0,64.8,6.6,49.6,36.3,13.3,32.7,0.69,14.62,6.36,-1.33,70.2,1.34,0.98,43.0,11.87,76.82,2.0,50.7,7.0,1.3,7.3,35.66,7.89,70.2,1.34,114970000000.0,-1.0,9700.0,38884000000.0,-1.0,15.2
Liechtenstein,111369.0,96320.0,15049.0,1667.0,579.0,243.0,28.1,44.6,77.6,71.7,5.9,18.0,2.73,36.64,6.62,-2.74,53.1,3.41,1.0,661.0,44.57,65.45,4.79,24.9,8.5,0.04,2.3,17.19,6.56,53.1,3.41,6850000000.0,-1.0,1400.0,3071000000.0,-1.0,50.9
Kenya,580367.0,569140.0,11227.0,3457.0,536.0,762.0,48.1,6.1,69.8,65.5,4.3,20.0,2.12,26.39,5.01,-0.19,29.0,4.09,1.0,342.0,27.86,69.69,3.29,59.7,4.6,0.16,5.1,25.85,37.65,29.0,4.09,226940000000.0,5.39,4200.0,95520000000.0,-1.0,36.1
Nigeria,1267000.0,1266700.0,300.0,5834.0,0.0,474.0,35.1,1.0,109.5,104.1,5.4,14.8,3.66,47.08,9.87,-0.64,16.9,4.72,0.98,509.0,66.81,60.09,6.82,11.0,5.7,0.04,3.5,70.8,22.99,16.9,4.72,28970000000.0,-1.0,1200.0,12926000000.0,-1.0,40.8
Rwanda,26338.0,24668.0,1670.0,930.0,0.0,1598.0,74.5,18.0,74.2,68.8,5.4,19.7,1.74,26.44,5.86,-3.21,17.7,3.07,0.96,248.0,26.39,65.85,3.33,53.2,6.4,0.13,3.4,40.75,2.92,17.7,3.07,27180000000.0,-1.0,2100.0,9136000000.0,-1.0,38.2
Sierra Leone,71740.0,71620.0,120.0,1093.0,402.0,279.0,56.2,37.5,76.3,71.1,5.2,19.1,2.49,32.2,9.32,2.03,43.8,3.02,0.98,1120.0,73.42,58.76,3.8,21.2,8.8,0.03,9.3,20.63,3.16,43.8,3.02,13150000000.0,-1.0,1600.0,4131999999.9999995,-1.0,56.8
Libyan Arab Jamahiriya,1759540.0,1759540.0,0.0,4339.0,1770.0,423.0,8.8,0.1,47.7,41.0,6.7,25.8,1.65,21.56,3.45,-1.61,81.3,1.45,1.04,72.0,11.22,77.18,3.09,27.7,-1.0,2.09,-1.0,44.17,45.76,81.3,1.45,70650000000.0,-1.0,10300.0,52259000000.0,-1.0,-1.0
South Africa,752618.0,743398.0,9220.0,6043.15,0.0,1138.0,31.7,66.3,85.7,81.7,4.0,16.9,2.9,34.86,6.12,0.24,45.8,4.15,1.0,213.0,37.11,66.26,4.56,49.6,5.3,1.19,4.5,24.7,14.1,45.8,4.15,60120000000.0,-1.0,3300.0,25710000000.0,-1.0,54.4
SU,1861484.0,1731671.0,129813.0,6819.0,853.0,568.0,100.0,0.0,76.9,70.4,6.5,18.3,2.55,33.47,6.3,-1.67,36.0,3.43,1.01,295.0,42.27,67.12,4.6,12.2,4.6,0.26,-1.0,47.92,75.1,36.0,3.43,176400000000.0,-1.0,4000.0,24918000000.0,-1.0,46.5
Congo,2344858.0,2267048.0,77810.0,11027.0,37.0,726.0,11.4,67.9,95.4,89.5,5.9,16.7,3.14,40.08,7.94,-0.71,46.8,4.33,1.0,473.0,60.85,61.83,5.63,28.1,3.5,0.07,1.5,37.62,61.24,46.8,4.33,96030000000.0,-1.0,1100.0,47160000000.0,-1.0,63.0
GV,245857.0,245717.0,140.0,4046.0,320.0,472.0,58.1,26.5,85.2,79.7,5.5,19.1,2.76,35.67,8.12,0.0,37.7,3.64,1.0,576.0,49.63,63.9,4.85,10.9,4.0,0.08,2.2,22.43,11.13,37.7,3.64,35080000000.0,-1.0,2700.0,13550000000.0,-1.0,43.7
Morocco,587041.0,581540.0,5501.0,0.0,4828.0,615.0,71.1,21.5,75.9,70.5,5.5,20.3,2.27,28.68,6.0,0.0,39.9,4.26,1.0,335.0,39.04,68.17,3.62,44.4,3.7,0.18,2.9,21.44,10.14,39.9,4.26,41820000000.0,-1.0,1500.0,13964000000.0,-1.0,70.7
Tanzania,947300.0,885800.0,61500.0,4161.0,1424.0,1018.0,43.7,37.3,85.9,81.0,4.9,18.2,2.78,33.3,5.09,-0.41,36.7,4.89,1.0,524.0,30.87,70.19,4.39,38.4,3.8,0.01,3.1,25.59,59.08,36.7,4.89,152790000000.0,6.98,2600.0,60633000000.0,-1.0,26.4
Ethiopia,1104300.0,1096570.0,7730.0,5925.0,0.0,1330.0,36.3,12.2,76.8,70.6,6.3,19.8,2.46,30.49,5.7,-0.19,22.7,4.4,0.99,401.0,33.51,68.25,3.99,37.0,3.2,0.08,5.1,34.36,114.21,22.7,4.4,264050000000.0,-1.0,2300.0,92154000000.0,-1.0,23.5
Somalia,637657.0,627337.0,10320.0,2385.0,3025.0,410.0,70.3,10.6,96.3,90.6,5.7,18.5,2.42,37.98,11.62,-2.18,47.3,4.2,1.01,829.0,86.53,55.72,5.31,6.9,-1.0,0.02,-1.0,29.51,20.13,47.3,4.2,13190000000.0,-1.0,800.0,7052000000.0,-1.0,-1.0
"Congo, Democratic Republic",1284000.0,1259200.0,24800.0,6406.0,0.0,543.0,39.6,9.1,96.0,91.1,4.9,16.1,3.09,40.45,9.45,-0.13,24.1,4.1,0.98,1140.0,65.48,59.15,5.46,8.1,4.4,0.04,2.4,53.01,30.69,24.1,4.1,24970000000.0,-1.0,1500.0,10912000000.0,-1.0,42.3
Uganda,241038.0,197100.0,43938.0,2729.0,0.0,-1.0,71.2,14.5,92.3,88.5,3.8,15.7,3.27,40.94,5.02,-3.26,26.2,5.41,0.95,375.0,30.45,68.96,5.36,41.8,3.8,0.17,3.0,48.41,30.24,26.2,5.41,99610000000.0,-1.0,2200.0,34683000000.0,-1.0,21.4
Tonga,56785.0,54385.0,2400.0,1880.0,56.0,236.0,67.4,4.9,77.1,72.0,5.1,20.0,2.48,31.86,5.27,-1.81,43.9,3.6,0.97,396.0,41.19,71.36,4.23,23.9,5.7,0.08,5.0,32.71,3.06,43.9,3.6,17450000000.0,-1.0,2100.0,5232000000.0,-1.0,55.1
CT,622984.0,622984.0,0.0,5920.0,0.0,635.0,8.1,36.2,86.4,81.1,5.2,20.0,1.78,32.79,11.76,-3.22,43.1,3.32,0.99,829.0,82.97,55.52,4.04,17.8,7.8,0.07,1.8,49.5,22.44,43.1,3.32,-1.0,-1.0,900.0,1937000000.0,-1.0,62.0
BC,581730.0,566730.0,15000.0,4347.15,0.0,1013.0,45.8,19.8,61.1,53.8,7.3,25.7,1.4,20.28,9.05,2.81,72.2,2.47,0.92,144.0,25.18,65.64,2.39,67.4,6.1,0.53,6.9,21.24,5.73,72.2,2.47,37720000000.0,-1.0,16000.0,18335000000.0,-1.0,19.3
Gabon,11300.0,10120.0,1180.0,749.0,80.0,34.0,56.1,43.9,86.9,82.1,4.7,21.8,2.29,28.78,5.81,-0.04,63.9,3.75,0.98,597.0,37.19,67.6,3.79,16.8,3.8,0.1,2.9,32.2,1.96,63.9,3.75,5220000000.0,-1.0,2200.0,1746000000.0,-1.0,48.6
WI,266000.0,266000.0,0.0,2049.0,1110.0,256.0,18.8,2.7,44.1,39.2,4.9,21.8,2.54,28.0,7.7,4.9,86.8,2.61,0.99,-1.0,47.9,64.5,3.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
PU,36125.0,28120.0,8005.0,762.0,350.0,70.0,44.8,55.2,81.2,76.0,5.2,18.0,2.53,36.45,7.5,-3.63,45.0,3.22,0.96,667.0,49.05,63.68,4.69,20.6,8.4,0.13,2.9,27.12,1.46,45.0,3.22,3640000000.0,-1.0,1800.0,1339000000.0,-1.0,67.0
Nicaragua,923768.0,910768.0,13000.0,4477.0,853.0,380.0,78.0,9.5,86.0,80.9,5.1,18.6,2.53,34.19,8.7,-0.21,53.5,3.92,1.02,917.0,56.68,61.33,4.62,16.6,3.0,0.38,-1.0,48.73,143.99,53.5,3.92,1013530000000.0,-1.0,4900.0,475062000000.0,-1.0,40.1
Cape Verde,4033.0,4033.0,0.0,0.0,965.0,-1.0,18.6,21.0,49.0,41.8,7.1,26.8,1.21,18.49,5.8,-0.57,67.5,1.83,0.95,58.0,23.53,73.75,2.13,55.8,4.9,0.78,4.7,31.99,0.13,67.5,1.83,3360000000.0,-1.0,6000.0,1971000000.0,-1.0,35.0
UV,274200.0,273800.0,400.0,3611.0,0.0,297.0,44.2,19.3,87.9,83.4,4.5,17.9,2.53,33.57,7.71,-0.61,31.9,4.75,0.96,320.0,49.42,63.44,4.27,30.1,5.5,0.09,5.8,36.78,12.85,31.9,4.75,45160000000.0,-1.0,2200.0,14271000000.0,-1.0,41.4
Belarus,27830.0,25680.0,2150.0,1140.0,0.0,1504.0,73.3,6.6,91.0,86.4,4.5,17.7,3.63,35.17,5.96,7.09,14.4,5.43,0.99,548.0,37.84,67.42,5.03,28.5,8.0,0.1,5.1,35.61,1.42,14.4,5.43,8690000000.0,-1.0,700.0,3027000000.0,-1.0,64.6
WA,824292.0,823290.0,1002.0,4220.0,1572.0,1141.0,47.2,8.8,67.9,61.8,6.0,21.8,1.82,25.01,6.85,0.0,54.0,3.64,0.96,195.0,29.42,66.47,2.98,56.1,8.5,0.42,9.4,22.59,10.4,54.0,3.64,22600000000.0,-1.56,8900.0,12372000000.0,-1.0,17.4
Brunei Darussalam,112622.0,110622.0,2000.0,2123.0,121.0,273.0,31.3,40.0,82.6,76.6,6.0,17.0,3.34,41.15,8.01,0.24,49.5,3.74,0.97,397.0,55.76,62.21,5.43,15.5,2.4,0.08,3.0,33.11,5.8,49.5,3.74,40290000000.0,-1.0,3300.0,10315000000.0,-1.0,38.5
Eritrea,117600.0,101000.0,16600.0,1840.0,2234.0,853.0,75.1,15.1,83.9,75.6,8.3,20.3,1.03,27.04,6.69,-10.11,42.6,3.67,0.97,480.0,41.5,66.85,3.58,8.4,4.5,0.06,-1.0,42.4,4.48,42.6,3.67,-1.0,-1.0,-1.0,5813000000.0,-1.0,50.0
Egypt,1001450.0,995450.0,6000.0,2612.0,2450.0,321.0,3.6,0.1,64.6,55.8,8.8,24.1,1.68,21.46,4.32,-0.31,43.0,1.9,1.06,37.0,17.7,74.45,2.88,58.5,4.7,0.45,3.9,79.28,59.68,43.0,1.9,1223040000000.0,-1.0,12000.0,323763000000.0,7.86,32.5
TP,964.0,964.0,0.0,0.0,209.0,-1.0,50.7,28.1,81.0,75.6,5.4,19.3,1.48,28.19,6.2,-7.19,75.8,2.96,1.0,130.0,44.38,67.06,3.56,49.7,5.5,0.05,5.9,25.66,0.04,75.8,2.96,890000000.0,-1.0,4100.0,0.0,-1.0,66.7
Djibouti,23200.0,23180.0,20.0,528.0,314.0,430.0,73.4,0.2,50.6,43.6,7.1,24.9,1.97,22.25,7.12,4.59,78.4,1.56,0.83,248.0,46.89,65.3,2.15,19.0,1.8,0.22,3.6,40.38,0.52,78.4,1.56,5420000000.0,-1.0,5500.0,3323000000.0,-1.0,21.1
Mauritania,1030700.0,1030700.0,0.0,5002.0,754.0,276.0,38.5,0.2,75.0,69.5,5.6,21.0,1.99,28.06,7.43,-0.72,56.9,3.84,0.93,766.0,50.99,65.22,3.53,17.8,3.3,0.19,1.9,40.82,6.16,56.9,3.84,23170000000.0,-1.0,5000.0,706000000.0,-1.0,31.0
IV,322463.0,318003.0,4460.0,3458.0,515.0,250.0,64.8,32.7,79.8,74.6,5.2,20.3,2.19,28.3,7.6,1.18,52.7,3.38,0.97,617.0,55.67,62.26,3.53,23.3,3.3,0.23,3.7,23.72,10.3,52.7,3.38,136479999999.99998,-1.0,5200.0,42498000000.0,-1.0,39.5
EK,28051.0,28051.0,0.0,528.0,296.0,577.0,10.1,57.5,64.4,60.5,3.9,20.3,3.5,29.95,8.95,13.96,74.0,3.62,1.15,301.0,78.33,63.7,4.26,12.6,3.1,0.4,-1.0,45.9,11.21,74.0,3.62,23860000000.0,-1.0,17000.0,10634000000.0,-1.0,44.0
Singapore,196722.0,192530.0,4192.0,2684.0,531.0,69.0,46.8,43.8,84.2,78.4,5.7,19.4,2.57,31.51,5.08,-0.71,49.1,3.59,0.97,315.0,32.44,69.96,4.27,26.9,4.1,0.07,5.3,37.52,11.74,49.1,3.59,55260000000.0,-1.0,3300.0,23576000000.0,-1.0,46.7
SF,1219090.0,1214470.0,4620.0,5244.0,2798.0,1034.0,79.4,7.6,52.2,43.8,8.4,28.0,0.93,18.56,9.26,0.0,68.3,1.72,0.98,119.0,25.87,65.32,2.18,54.6,9.1,0.91,6.8,23.58,55.89,68.3,1.72,680040000000.0,0.06,11500.0,350032000000.0,28.53,55.5
Cameroon,475440.0,472710.0,2730.0,5018.0,402.0,667.0,20.6,41.7,81.1,76.2,4.9,18.5,2.75,35.53,7.73,-0.31,58.7,3.43,0.99,529.0,48.73,63.27,4.55,19.3,3.6,0.09,3.1,65.26,30.71,58.7,3.43,94940000000.0,-1.0,3600.0,34990000000.0,-1.0,37.5
Antigua And Barbuda,2381740.0,2381740.0,0.0,6734.0,998.0,800.0,17.4,0.8,60.1,49.3,10.8,28.9,1.34,18.52,4.32,-0.82,74.8,1.99,1.03,112.0,19.72,78.03,2.51,57.1,6.2,1.72,6.1,35.17,49.94,74.8,1.99,468400000000.0,-1.0,10700.0,169912000000.0,-1.0,5.5
China,2235.0,2235.0,0.0,0.0,340.0,-1.0,84.4,1.4,75.5,67.4,5.4,20.9,1.37,22.52,6.55,-2.25,29.9,2.97,0.94,273.0,57.1,67.2,2.78,19.4,5.2,0.27,2.5,18.6,0.19,29.9,2.97,2730000000.0,-1.0,3100.0,1186000000.0,-1.0,42.4
WZ,17364.0,17204.0,160.0,546.0,0.0,305.0,68.3,31.7,70.8,64.0,6.9,23.7,0.75,23.35,9.71,-6.16,24.6,2.42,0.9,437.0,39.63,59.69,2.44,66.1,6.8,0.33,5.3,16.26,1.9,24.6,2.42,9740000000.0,-1.0,8400.0,4484000000.0,-1.0,58.9
ZI,390757.0,386847.0,3910.0,3229.0,0.0,961.0,42.5,39.5,81.6,76.1,5.5,20.5,1.95,33.07,8.76,-4.83,32.4,2.41,0.97,458.0,28.53,63.32,3.89,66.8,7.7,0.21,3.6,19.35,12.1,32.4,2.41,40790000000.0,-1.0,2700.0,21441000000.0,-1.0,38.3
Mozambique,799380.0,786380.0,13000.0,4783.0,2470.0,345.0,56.3,43.7,88.4,83.0,5.4,17.0,2.56,37.47,10.25,-1.58,38.2,4.24,0.97,289.0,61.38,57.1,4.81,27.1,7.8,0.08,6.2,19.44,16.26,38.2,4.24,38420000000.0,-1.0,1200.0,14964000000.0,-1.0,46.1
Sweden,455.0,455.0,0.0,0.0,491.0,-1.0,6.5,88.5,46.7,34.9,11.8,36.8,0.64,12.37,6.88,0.86,58.4,0.99,1.08,-1.0,10.6,76.1,1.82,-1.0,5.2,2.12,3.9,18.72,0.1,58.4,0.99,2400000000.0,-1.0,24400.0,1748000000.0,-1.0,25.3
